D_TRA1_1_SPOT,D_TRA1_CASE,D_TRA1_SMONTH,D_TRA1_SDAY,D_TRA1_EMONTH,D_TRA1_EDAY,D_TRA1_S_Day,D_TRA1_COST,D_TRA1_NUM,D_TRA1_ONE_COST,A1_1,A4_1,A5_1,A5_2,A5_3,A5_4,A5_5,A5_6,A5_7,A5_8,A5_9,A5_10,A5_11,A5_12,A5_13,A5_14,A5_15,A5_16,A5_17,A5_18,A5_19,A5_20,A5_21,A7,A7B_1,A7B_2,A7B_3,A7B_4,A7B_5,A7B_6,A7B_7,A9,NA9,BSEX,BAGE,SAGE,BEDU,BFAM,total
39020.0,333.0,2332.0,4887.0,2315.0,5297.0,624.0,353394401.0,903.0,148097111.0,1309,1567,302.0,458.0,87.0,152.0,380.0,1554.0,105.0,520.0,243.0,10.0,66.0,36.0,0.0,0.0,1005.0,704.0,255.0,162.0,0.0,20.0,42.0,1230,183.0,18.0,369.0,20.0,95.0,0.0,0.0,373109036,145061442,518,1251,13993,1220,864,147
37020.0,324.0,2114.0,4861.0,2116.0,4914.0,114.0,72341400.0,872.0,28782730.0,446,1682,267.0,314.0,30.0,556.0,70.0,1194.0,14.0,120.0,126.0,0.0,0.0,12.0,52.0,0.0,210.0,256.0,102.0,72.0,0.0,20.0,0.0,1039,164.0,12.0,435.0,16.0,50.0,0.0,0.0,74272519,27661673,499,1111,12715,1168,833,94
32030.0,312.0,2203.0,4708.0,2161.0,4805.0,282.0,123750000.0,828.0,51771477.0,417,1734,289.0,390.0,33.0,80.0,35.0,1464.0,28.0,240.0,54.0,0.0,55.0,48.0,39.0,14.0,495.0,448.0,255.0,252.0,0.0,20.0,63.0,1044,189.0,28.0,339.0,12.0,25.0,0.0,0.0,127907819,49283429,475,1106,12569,1143,820,85
39010.0,270.0,1870.0,3928.0,1856.0,4184.0,561.0,308520000.0,736.0,126617460.0,1089,1274,249.0,416.0,96.0,172.0,410.0,1266.0,91.0,408.0,324.0,0.0,110.0,72.0,39.0,14.0,1005.0,576.0,306.0,108.0,0.0,20.0,0.0,911,142.0,8.0,351.0,12.0,25.0,0.0,0.0,339816880,127032147,428,994,11160,1008,689,130
31370.0,255.0,1675.0,3656.0,1675.0,3767.0,111.0,58186500.0,658.0,24352934.0,379,1243,219.0,228.0,75.0,28.0,150.0,1026.0,14.0,56.0,18.0,0.0,44.0,48.0,39.0,0.0,90.0,160.0,85.0,126.0,0.0,0.0,21.0,908,111.0,16.0,393.0,44.0,10.0,0.0,7.0,58411606,22155305,366,808,9370,935,652,73
32060.0,246.0,1766.0,3910.0,1768.0,4110.0,261.0,131346955.0,769.0,45897289.0,299,1254,211.0,342.0,66.0,76.0,60.0,1134.0,98.0,224.0,27.0,0.0,99.0,24.0,65.0,0.0,465.0,96.0,187.0,144.0,19.0,0.0,0.0,919,153.0,28.0,243.0,16.0,25.0,6.0,0.0,134330722,45186164,372,948,10666,879,633,96
34030.0,242.0,1644.0,3427.0,1646.0,3465.0,99.0,63707800.0,665.0,25434815.0,301,1262,225.0,364.0,99.0,40.0,75.0,960.0,0.0,104.0,27.0,0.0,44.0,48.0,13.0,0.0,180.0,96.0,85.0,36.0,0.0,0.0,0.0,812,120.0,10.0,348.0,8.0,15.0,0.0,0.0,69653685,23899230,350,799,9195,883,627,63
21090.0,225.0,1477.0,3491.0,1478.0,3615.0,155.0,78081666.0,545.0,37153267.0,434,1134,181.0,284.0,36.0,40.0,20.0,960.0,105.0,280.0,45.0,0.0,11.0,24.0,13.0,0.0,540.0,128.0,204.0,216.0,0.0,0.0,21.0,739,74.0,4.0,420.0,4.0,20.0,0.0,0.0,82530519,35356590,345,664,7746,841,583,62
37010.0,204.0,1454.0,3230.0,1434.0,3166.0,59.0,41197008.0,532.0,17944348.0,242,1128,170.0,276.0,21.0,20.0,10.0,738.0,7.0,264.0,18.0,0.0,33.0,0.0,65.0,0.0,105.0,192.0,17.0,108.0,0.0,0.0,0.0,667,119.0,14.0,228.0,12.0,10.0,0.0,0.0,43815706,17165356,302,757,8526,736,531,59
36020.0,204.0,1309.0,2994.0,1287.0,3090.0,158.0,84614004.0,543.0,33665835.0,286,887,191.0,262.0,66.0,80.0,65.0,816.0,7.0,72.0,63.0,0.0,44.0,24.0,78.0,0.0,300.0,160.0,136.0,144.0,0.0,20.0,21.0,667,94.0,8.0,294.0,12.0,25.0,0.0,0.0,87886430,31556175,296,689,7885,745,532,81
